category,cores,memory,disk,cpu_time,wall_time
ttZ_mAODv2,1,1662,398,7053.9,7150.015
ttZ_mAODv2,1,1756,399,7083.35,7165.197
ttW_mAODv2,1,1586,367,7369.41,7415.943
ttZ_mAODv2,1,1705,401,7635.22,7688.897
ttZ_mAODv2,1,1707,398,7595.03,7652.572
ttZ_mAODv2,1,1714,396,7420.79,7476.74
ttZ_mAODv2,1,1767,401,7139.86,7222.019
ttZ_mAODv2,1,1660,400,7134.85,7228.156
ttW_mAODv2,1,1519,373,7437.47,7486.351
ttZ_mAODv2,1,1688,402,7148.31,7247.98
ttZ_mAODv2,1,1632,413,7890.52,7950.345
ttZ_mAODv2,1,1735,392,7245.12,7322.897
ttZ_mAODv2,1,1732,400,7363.27,7446.652
ttZ_mAODv2,1,1486,389,7872.15,7922.872
ttZ_mAODv2,1,1808,400,7426.43,7501.512
ttZ_mAODv2,1,1739,401,7436.89,7522.93
ttW_mAODv2,1,1666,377,7229.94,7283.343
ttZ_mAODv2,1,1813,401,7583.39,7664.447
ttZ_mAODv2,1,1720,388,7894.51,7951.669
ttZ_mAODv2,1,1831,402,7692.26,7769.99
ttW_mAODv2,1,1642,366,6711.65,6766.182
ttW_mAODv2,1,1740,429,7856.04,7942.454
ttW_mAODv2,1,1869,431,7894.57,7972.655
ttW_mAODv2,1,1990,363,6682.6,6735.116
ttW_mAODv2,1,1664,369,6173.9,6362.897
ttW_mAODv2,1,1995,372,6227.76,6420.238
ttW_mAODv2,1,1670,369,6235.59,6438.171
ttW_mAODv2,1,1817,367,6731.93,6784.399
ttW_mAODv2,1,1993,372,6259.42,6452.232
ttW_mAODv2,1,1666,373,6286.32,6492.072
ttW_mAODv2,1,2000,374,6309.33,6502.56
ttZ_mAODv2,1,1664,409,7580.92,7639.799
ttZ_mAODv2,1,1688,405,7570.8,7629.241
ttZ_mAODv2,1,1667,400,7507.11,7560.979
ttW_mAODv2,1,1769,368,6577.33,6749.601
ttW_mAODv2,1,1706,369,6591.56,6765.596
ttZ_mAODv2,1,1581,389,7881.23,7932.493
ttW_mAODv2,1,1752,371,6607.61,6783.839
ttW_mAODv2,1,1742,368,6623.05,6796.985
ttW_mAODv2,1,1680,368,6632.36,6807.736
ttW_mAODv2,1,1713,370,6638.28,6812.834
ttW_mAODv2,1,1991,365,6642.33,6812.381
ttW_mAODv2,1,1705,368,6885.94,6946.661
ttW_mAODv2,1,1717,373,6685.87,6857.926
ttZ_mAODv2,1,1742,400,7058.51,7136.921
ttW_mAODv2,1,1692,373,6713.79,6883.107
ttZ_mAODv2,1,1661,397,6712.54,6918.99
ttW_mAODv2,1,1665,369,6757.21,6926.819
ttW_mAODv2,1,1707,367,6758.65,6931.871
ttW_mAODv2,1,1692,373,6790.64,6960.214
ttZ_mAODv2,1,1659,401,6803.99,6979.443
ttW_mAODv2,1,1780,371,6822.89,6992.128
ttZ_mAODv2,1,1677,399,6814.71,6993.52
ttZ_mAODv2,1,1662,402,6821.45,6993.716
ttW_mAODv2,1,1676,366,6823.95,6995.323
ttZ_mAODv2,1,1661,399,6788.43,7001.453
ttZ_mAODv2,1,1675,398,6793.64,7002.328
ttW_mAODv2,1,1668,373,6852.81,6905.765
ttZ_mAODv2,1,1663,403,6838.21,7014.205
ttZ_mAODv2,1,1992,400,6818.82,7030.709
ttZ_mAODv2,1,1667,404,6879.18,7054.354
ttZ_mAODv2,1,1675,399,6854.15,7064.644
ttZ_mAODv2,1,1686,400,6858,7070.785
ttZ_mAODv2,1,1673,405,6897.74,7076.195
ttZ_mAODv2,1,1677,404,6904.69,7081.844
ttZ_mAODv2,1,1662,405,6908.92,7083.813
ttZ_mAODv2,1,1669,403,6876.18,7092.226
ttZ_mAODv2,1,1656,403,6880.85,7092.915
ttZ_mAODv2,1,1676,406,6881.71,7094.3
ttZ_mAODv2,1,1685,406,6926.52,7107.152
ttZ_mAODv2,1,1674,403,6901.73,7114.215
ttZ_mAODv2,1,1664,405,6913.19,7117.87
ttZ_mAODv2,1,1661,408,6950.89,7127.317
ttZ_mAODv2,1,1671,408,6927.12,7140.735
ttW_mAODv2,1,1581,371,7520.7,7569.139
ttZ_mAODv2,1,1848,403,7346.97,7405.946
ttZ_mAODv2,1,1764,399,7117.02,7298.002
ttZ_mAODv2,1,1835,398,7404.82,7458.339
ttZ_mAODv2,1,1694,397,7226.38,7404.27
ttZ_mAODv2,1,1720,392,7244.01,7417.7
ttZ_mAODv2,1,1774,397,7246.65,7431.17
ttZ_mAODv2,1,1805,398,7256.91,7435.19
ttZ_mAODv2,1,1829,397,7260.38,7434.068
ttZ_mAODv2,1,1740,403,7283.23,7468.595
ttZ_mAODv2,1,1673,401,7289.56,7467.633
ttZ_mAODv2,1,1808,398,7302.41,7470.877
ttZ_mAODv2,1,1759,404,7294.72,7471.129
ttZ_mAODv2,1,1721,399,7291.56,7473.09
ttZ_mAODv2,1,1743,391,7298.13,7473.713
ttZ_mAODv2,1,1798,399,7301.21,7478.661
ttZ_mAODv2,1,1707,404,7302.71,7479.799
ttZ_mAODv2,1,1785,400,7302.16,7480.012
ttZ_mAODv2,1,1718,403,7318.13,7497.365
ttZ_mAODv2,1,1794,402,7322.22,7499.746
ttZ_mAODv2,1,1702,401,7329.06,7504.401
ttZ_mAODv2,1,1735,407,7330.57,7508.61
ttZ_mAODv2,1,1739,403,7327.04,7509.182
ttZ_mAODv2,1,1713,401,7333.72,7515.208
ttZ_mAODv2,1,1780,404,7346.81,7522.115
ttZ_mAODv2,1,1802,400,7346.85,7524.585
ttZ_mAODv2,1,1756,403,7345.52,7526.406
ttZ_mAODv2,1,1688,403,7354.08,7530.18
ttZ_mAODv2,1,1816,402,7357.52,7536.954
ttZ_mAODv2,1,1803,402,7360.94,7537.959
ttZ_mAODv2,1,1735,405,7352.04,7540.192
ttZ_mAODv2,1,1997,402,7370.76,7549.436
ttZ_mAODv2,1,1779,397,7378.74,7557.289
ttZ_mAODv2,1,1751,404,7376.77,7556.561
ttZ_mAODv2,1,1796,399,7378.22,7561.013
ttZ_mAODv2,1,1809,404,7379.51,7562.143
ttZ_mAODv2,1,1719,407,7392.94,7569.869
ttZ_mAODv2,1,1806,397,7394.37,7573.157
ttZ_mAODv2,1,1683,404,7407.22,7583.393
ttZ_mAODv2,1,1691,405,7423.01,7598.817
ttZ_mAODv2,1,1826,407,7415.95,7597.421
ttZ_mAODv2,1,1729,401,7426.74,7601.421
ttZ_mAODv2,1,1672,401,7449.18,7627.47
ttZ_mAODv2,1,1676,403,7451.65,7629.478
ttZ_mAODv2,1,1735,403,7475.73,7657.003
ttZ_mAODv2,1,1792,406,7481.61,7662.075
ttZ_mAODv2,1,1749,402,7484.73,7664.037
ttZ_mAODv2,1,1736,403,7483.14,7664.681
ttZ_mAODv2,1,1783,402,7488.98,7664.773
ttZ_mAODv2,1,1680,403,7495.93,7673.389
ttZ_mAODv2,1,1713,405,7495.8,7674.127
ttZ_mAODv2,1,1695,404,7511.51,7689.337
ttZ_mAODv2,1,1792,400,7515.7,7694.085
ttZ_mAODv2,1,1670,403,7510.4,7692.939
ttZ_mAODv2,1,1765,402,7515.12,7695.314
ttZ_mAODv2,1,1668,402,7520.98,7696.813
ttZ_mAODv2,1,1696,403,7526.5,7707.034
ttZ_mAODv2,1,1805,401,7537.07,7716.537
ttZ_mAODv2,1,1799,400,7544.64,7725.279
ttZ_mAODv2,1,1696,403,7550.56,7725.106
ttZ_mAODv2,1,1774,404,7206.71,7262.704
ttZ_mAODv2,1,1861,404,7548.03,7738.325
